run#,DCOP,Perfect Communication,Timestamp Use,Message Lost Prob,UB,Algorithm,Stochastic,Iteration,Global View Cost,Monotonicy,Agent View Cost,Global Anytime Cost,Value Assignmnet Counter,Algorithm Msgs Counter,Global View Cost Agent Zero,Agent View Cost Agent Zero,Abs Delta Global and POV,Percent Agents With Colors,Number of Colors
48,Scale-Free Network,Perfect Communication,w Timestamp,0.1,0.0,DSA_ASY,0.7,9951,4498.0,1.0,4498.0,4498.0,38.0,11229.0,109.0,109.0,0.0,1.0,1.0
49,Scale-Free Network,Perfect Communication,w Timestamp,0.1,0.0,DSA_ASY,0.7,9808,4130.0,1.0,4130.0,4130.0,50.0,14962.0,154.0,154.0,0.0,1.0,1.0
50,Scale-Free Network,Perfect Communication,w Timestamp,0.1,0.0,DSA_ASY,0.7,9831,4183.0,1.0,4183.0,4183.0,47.0,14182.0,79.0,79.0,0.0,1.0,1.0
0,Scale-Free Network,Perfect Communication,w Timestamp,0.2,0.0,DSA_ASY,0.7,9921,4189.0,1.0,4189.0,4189.0,26.0,9046.0,259.0,259.0,0.0,1.0,1.0
1,Scale-Free Network,Perfect Communication,w Timestamp,0.2,0.0,DSA_ASY,0.7,9821,4153.0,1.0,4153.0,4153.0,48.0,12661.0,133.0,133.0,0.0,1.0,1.0
2,Scale-Free Network,Perfect Communication,w Timestamp,0.2,0.0,DSA_ASY,0.7,9771,4504.0,1.0,4504.0,4504.0,37.0,10283.0,110.0,110.0,0.0,1.0,1.0
3,Scale-Free Network,Perfect Communication,w Timestamp,0.2,0.0,DSA_ASY,0.7,9871,3825.0,1.0,3825.0,3825.0,41.0,10851.0,57.0,57.0,0.0,1.0,1.0
4,Scale-Free Network,Perfect Communication,w Timestamp,0.2,0.0,DSA_ASY,0.7,9981,4346.0,1.0,4346.0,4346.0,43.0,11419.0,84.0,84.0,0.0,1.0,1.0
5,Scale-Free Network,Perfect Communication,w Timestamp,0.2,0.0,DSA_ASY,0.7,9806,4230.0,1.0,4230.0,4230.0,50.0,13100.0,414.0,414.0,0.0,1.0,1.0
6,Scale-Free Network,Perfect Communication,w Timestamp,0.2,0.0,DSA_ASY,0.7,9801,4138.0,1.0,4138.0,4138.0,44.0,11572.0,199.0,199.0,0.0,1.0,1.0
7,Scale-Free Network,Perfect Communication,w Timestamp,0.2,0.0,DSA_ASY,0.7,9853,4062.0,1.0,4062.0,4062.0,42.0,10932.0,115.0,115.0,0.0,1.0,1.0
8,Scale-Free Network,Perfect Communication,w Timestamp,0.2,0.0,DSA_ASY,0.7,9849,4324.0,1.0,4324.0,4324.0,44.0,11559.0,86.0,86.0,0.0,1.0,1.0
9,Scale-Free Network,Perfect Communication,w Timestamp,0.2,0.0,DSA_ASY,0.7,9818,4057.0,1.0,4057.0,4057.0,42.0,10961.0,171.0,171.0,0.0,1.0,1.0
10,Scale-Free Network,Perfect Communication,w Timestamp,0.2,0.0,DSA_ASY,0.7,9901,3990.0,1.0,3990.0,3990.0,41.0,10767.0,148.0,148.0,0.0,1.0,1.0
11,Scale-Free Network,Perfect Communication,w Timestamp,0.2,0.0,DSA_ASY,0.7,9989,4593.0,1.0,4597.5,4593.0,50.0,13243.0,200.0,200.0,4.5,1.0,1.0
12,Scale-Free Network,Perfect Communication,w Timestamp,0.2,0.0,DSA_ASY,0.7,9951,4310.0,1.0,4310.0,4310.0,41.0,10873.0,108.0,108.0,0.0,1.0,1.0
