DCOP,Perfect Communication,Timestamp Use,Message Lost Prob,lambda,Algorithm,Stochastic,Iteration,Global View Cost,Monotonicy,Agent View Cost,Global Anytime Cost,Value Assignmnet Counter,Algorithm Msgs Counter,Global View Cost Agent Zero,Agent View Cost Agent Zero,Abs Delta Global and POV,Percent Agents With Colors,Number of Colors
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,9300,6707.48,0.98,6709.44,6703.7,56.82,27695.07,272.59,272.76,2.2,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,9400,6708.54,0.98,6708.21,6703.7,57.51,28035.29,272.1,272.86,1.93,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,9500,6709.1,0.97,6707.78,6703.7,58.09,28320.59,272.49,272.59,2.0,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,9600,6706.2,1.0,6706.97,6702.98,58.7,28619.23,273.45,272.59,0.89,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,9700,6708.43,0.99,6706.335,6702.98,59.31,28918.68,272.98,272.96,2.875,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,9800,6708.46,0.98,6706.545,6702.98,59.9,29206.85,272.59,272.96,2.955,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,9900,6706.1,0.99,6706.285,6702.53,60.54,29514.63,272.59,272.98,0.355,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,10000,6705.96,1.0,6706.285,6702.53,61.06,29768.83,272.59,272.98,0.325,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,10100,6706.82,0.97,6706.965,6702.53,61.73,30093.9,273.45,272.59,1.195,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,10200,6706.76,0.98,6706.715,6702.53,62.29,30372.74,273.45,273.06,0.685,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,10300,6707.1,0.99,6706.12,6702.53,62.9,30676.59,273.06,273.06,1.31,1.0,1.0
